Date,Open,High,Low,Close,Adj Close,Volume
2023-03-29,8225.200195,8390.450195,8225.049805,8373.500000,8373.500000,278300
2023-03-31,8413.299805,8490.900391,8410.750000,8466.799805,8466.799805,267400
2023-04-03,8513.299805,8515.099609,8465.400391,8497.750000,8497.750000,264600
2023-04-05,8500.700195,8501.450195,8451.799805,8495.549805,8495.549805,270300
2023-04-06,8490.349609,8559.150391,8466.700195,8550.650391,8550.650391,243400
2023-04-10,8573.849609,8591.500000,8537.450195,8581.950195,8581.950195,182900
2023-04-11,8606.049805,8634.799805,8570.099609,8607.849609,8607.849609,197200
2023-04-12,8621.049805,8661.250000,8615.849609,8646.400391,8646.400391,185400
2023-04-13,8671.750000,8699.049805,8626.450195,8677.349609,8677.349609,226200
2023-04-17,8647.950195,8707.849609,8610.400391,8699.200195,8699.200195,208600
2023-04-18,8723.150391,8781.750000,8705.799805,8771.700195,8771.700195,233200
2023-04-19,8789.549805,8805.250000,8741.500000,8753.450195,8753.450195,187900
2023-04-20,8773.650391,8792.400391,8752.450195,8767.099609,8767.099609,181400
2023-04-21,8780.700195,8782.150391,8700.150391,8731.299805,8731.299805,470900
2023-04-24,8743.099609,8794.599609,8721.950195,8790.299805,8790.299805,239700
2023-04-25,8806.299805,8846.400391,8791.299805,8815.099609,8815.099609,220400
2023-04-26,8800.500000,8839.450195,8770.849609,8834.200195,8834.200195,323300
2023-04-27,8835.900391,8874.900391,8834.650391,8865.150391,8865.150391,479900
2023-04-28,8878.849609,8970.150391,8861.400391,8962.849609,8962.849609,393800
2023-05-02,9010.750000,9080.700195,8996.950195,9062.200195,9062.200195,395400
2023-05-03,9046.650391,9099.849609,9032.150391,9065.849609,9065.849609,276300
2023-05-04,9080.650391,9132.150391,9071.400391,9122.900391,9122.900391,293300
2023-05-05,9130.450195,9155.299805,9027.250000,9036.799805,9036.799805,305300
2023-05-08,9069.400391,9156.250000,9062.200195,9149.150391,9149.150391,256200
2023-05-09,9174.250000,9222.150391,9132.599609,9152.799805,9152.799805,251800
2023-05-10,9184.750000,9184.750000,9101.250000,9158.000000,9158.000000,320700
2023-05-11,9191.849609,9221.799805,9169.099609,9194.650391,9194.650391,383000
2023-05-12,9186.400391,9194.599609,9125.250000,9149.599609,9149.599609,270400
2023-05-15,9162.000000,9255.549805,9133.950195,9239.250000,9239.250000,259600
2023-05-16,9279.250000,9331.599609,9261.200195,9269.700195,9269.700195,404500
2023-05-17,9271.150391,9274.200195,9171.700195,9244.650391,9244.650391,323000
2023-05-18,9280.299805,9287.200195,9166.000000,9176.549805,9176.549805,221700
2023-05-19,9199.150391,9200.299805,9095.049805,9176.099609,9176.099609,229900
2023-05-22,9162.650391,9241.250000,9140.900391,9235.900391,9235.900391,205500
2023-05-23,9255.750000,9304.500000,9247.900391,9286.150391,9286.150391,184300
2023-05-24,9290.049805,9319.049805,9248.049805,9267.599609,9267.599609,250600
2023-05-25,9264.799805,9342.000000,9254.950195,9332.000000,9332.000000,349300
2023-05-26,9342.150391,9435.299805,9340.450195,9428.599609,9428.599609,297300
2023-05-29,9468.599609,9478.700195,9419.900391,9470.349609,9470.349609,275000
2023-05-30,9480.799805,9514.950195,9459.599609,9506.400391,9506.400391,225300
2023-05-31,9496.849609,9547.400391,9485.650391,9539.900391,9539.900391,321400
2023-06-01,9547.299805,9603.400391,9541.099609,9559.500000,9559.500000,219300
2023-06-02,9590.250000,9637.799805,9587.000000,9629.650391,9629.650391,204700
2023-06-05,9669.200195,9684.900391,9629.500000,9638.150391,9638.150391,209600
2023-06-06,9643.299805,9644.599609,9571.650391,9628.150391,9628.150391,172000
2023-06-07,9658.549805,9710.250000,9644.150391,9704.750000,9704.750000,356600
2023-06-08,9723.950195,9725.150391,9599.400391,9609.599609,9609.599609,313200
2023-06-09,9637.599609,9650.049805,9590.250000,9598.849609,9598.849609,229500
2023-06-12,9628.450195,9685.799805,9592.549805,9675.650391,9675.650391,221400
2023-06-13,9696.150391,9801.299805,9694.349609,9795.500000,9795.500000,398100
2023-06-14,9825.799805,9833.000000,9793.400391,9819.650391,9819.650391,543800
2023-06-15,9835.250000,9864.299805,9796.049805,9803.349609,9803.349609,347400
2023-06-16,9831.750000,9906.349609,9817.349609,9884.200195,9884.200195,386500
2023-06-19,9926.799805,9950.250000,9880.000000,9891.549805,9891.549805,315400
2023-06-20,9900.000000,9968.200195,9871.549805,9957.549805,9957.549805,306200
2023-06-21,10033.799805,10081.299805,10003.900391,10032.400391,10032.400391,506600
2023-06-22,10047.500000,10047.700195,9872.750000,9911.450195,9911.450195,460100
2023-06-23,9901.000000,9905.400391,9780.299805,9807.250000,9807.250000,329800
2023-06-26,9809.400391,9894.000000,9762.650391,9883.799805,9883.799805,275500
2023-06-27,9910.799805,9957.549805,9900.799805,9945.099609,9945.099609,318700
2023-06-28,9994.000000,10062.250000,9966.000000,10040.049805,10040.049805,434300
2023-06-30,10072.849609,10133.250000,10060.400391,10126.849609,10126.849609,316900
